% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=74070, Thu Apr  9 18:39:53 2026, <python>{}</python>
1 12 19.60021323908241 0 0 0.019256622154419638 9.567304143244408 0.1912039347912548 10.081572911448523 9.959666129949444 14.569523528086759 4.021480020081572 3.9840671669735115 5.809335868957036
2 24 20.18567285536998 0 0 0.019901632988481018 9.872073224143103 0.1933614080288575 10.374904450893812 10.678960755523917 15.274968851958427 4.260386815384531 4.052971488303865 5.521753052261043
3 36 20.323020073256448 0 0 0.01952856632380655 10.006135677616793 0.2002581681852348 10.17601219538315 10.602668099442111 15.493933702726155 4.355086398800583 4.006812512240879 5.572118361809714
4 48 23.860318806164116 0 0 0.022940527516247974 11.814974234215933 0.23635265124134197 11.648983728116297 12.630746343502391 18.07015008067926 5.30865073062602 4.685317205805217 6.670712534134951
5 60 28.305675181912314 0 0 0.02596119389026023 13.765530630310769 0.2861374717900781 13.284747894061477 15.389088346431608 21.2788301384415 6.171985739802186 5.624885561298058 8.19803669690225
6 72 31.480086169416207 0 0 0.028277064814247094 14.534974078581639 0.3256551748022591 14.30212615440978 17.078767132021767 24.42595658627996 6.86819013524936 6.104873931851629 9.108277831310138
7 84 35.00121089984867 0 0 0.03168731758463967 15.786210348146628 0.36297056319668924 15.774051947031166 18.678969138489464 27.849645758701687 8.121400968649755 6.895426937536119 10.222590596161625
8 96 37.40734428137342 0 0 0.034549406423359456 16.361709483678908 0.38981279588875767 17.333489264934634 20.451488375656776 29.823378099658722 8.681436377277379 7.343100582510056 11.157004038772786
9 108 38.07888115396642 0 0 0.03520991187586547 16.534549805837596 0.39292931490986993 16.826357420762243 20.868220899333497 30.46820284003878 8.873058751276687 7.4510239893484105 11.22765927367241
10 120 41.11229354406684 0 0 0.03981758322550189 17.784727076463298 0.4272508975012483 18.288783647861315 22.388766166003816 34.26639524538184 9.219936722214031 7.887001060355344 11.771621611834501
11 132 41.581468911961224 0 0 0.0401478640481827 17.854770479038546 0.42905413392013453 18.646645048122615 23.0222963895304 34.32039259822368 8.650092962043422 8.177258710902173 11.984378503951946
12 144 43.75154875209494 0 0 0.0433635033077989 18.096028518382695 0.448034321855384 19.595382207762487 25.634148030958325 35.796703344383324 9.159754193369489 8.551125939534677 12.595698536994538
13 156 50.07123735112683 0 0 0.04772924754024479 20.187539078634536 0.5005267285582359 22.557618663527116 30.299925544791712 44.66384243471875 10.434122572817579 9.983362611378688 14.793971046549931
14 168 56.355633451182314 0 0 0.05461890249843562 22.912570461759984 0.5834060105178409 25.603349288131042 34.01031676021713 50.363101850637186 11.240422090884243 11.380405679618415 16.27596110845654
15 180 67.71762474722331 0 0 0.06714667172248562 27.72820242997187 0.7187767508332493 30.438280536026884 41.13221153317999 63.741272463699154 13.516140901046196 13.776027545407407 19.23414399785662
